"","RSD"
"PC.18.2_20.0..AcO",0.126419
"PC.18.2_20.1..AcO",0.0903
"PC.18.2_20.2..AcO",0.094753
"PC.18.2_20.3..AcO",0.062714
"PC.18.2_20.4..AcO",0.035721
"PC.20.0_20.4..AcO",0.05691
"PC.20.1_20.4..AcO",0.091949
"PC.20.2_20.4..AcO",0.080983
"PC.20.3_20.4..AcO",0.055386
"PC.20.4_20.4..AcO",0.061992
"PC.O.16.0_16.0.",0.056404
"PC.O.16.0_20.3.",0.054458
"PC.O.16.0_20.4.",0.028198
"PC.O.16.0_22.6.",0.101626
"PC.O.18.0_18.1.",0.065261
"PC.O.18.0_18.2.",0.054992
"PC.O.18.0_20.4.",0.035672
"PC.O.18.0_22.6.",0.094545
"PC.P.16.0_16.0.",0.070086
"PC.P.16.0_16.1.",0.088727
"PC.P.16.0_18.1.",0.025403
"PC.P.16.0_18.2.",0.021354
"PC.P.16.0_22.6.",0.083291
"PC.P.17.0_20.4...a.",0.057277
"PC.P.18.0_18.2.",0.036726
"PC.P.18.0_20.4.",0.019075
"PC.P.18.0_22.5.",0.105894
"PC.P.18.0_22.6.",0.117991
"PC.P.18.1_18.1.",0.043062
"PC.P.18.1_22.6.",0.118496
"PC.P.20.0_20.4.",0.091741
"PE.14.0_20.4..H",0.157556
"PE.15.0_18.0..H",0.069266
"PE.15.0_20.1..H",0.11997
"PE.15.0_20.2..H",0.118837
"PE.16.0_16.0..H",0.171779
"PE.16.0_16.1..H",0.101376
"PE.16.0_18.1..H",0.033835
"PE.16.0_18.2..H",0.026042
"PE.16.0_18.3..H",0.082931
"PE.16.0_20.2..H",0.18211
"PE.16.0_20.3..H",0.04689
"PE.16.0_20.4..H",0.013903
"PE.16.0_20.5..H",0.089051
"PE.16.0_22.4..H",0.063561
"PE.16.0_22.5..H",0.049049
"PE.16.0_22.6..H",0.043527
"PE.17.0_18.0..H",0.147876
"PE.17.0_18.2..H",0.070007
"PE.17.0_20.0..H",0.025678
"PE.17.0_20.1..H",0.09488
"PE.17.0_20.4..H",0.180764
"PE.17.0_22.4..H",0.106725
"PE.18.0_18.0..H",0.029038
"PE.18.0_18.1..H",0.008575
"PE.18.0_18.2..H",0.020756
"PE.18.0_18.3..H",0.145065
"PE.18.0_20.3..H",0.033513
"PE.18.0_20.4..H",0.016092
"PE.18.0_20.5..H",0.11489
"PE.18.0_22.4..H",0.036092
"PE.18.0_22.5..H",0.026505
"PE.18.0_22.6..H",0.055577
"PE.18.1_18.1..H",0.03489
"PE.18.1_18.2..H",0.020286
"PE.18.1_18.3..H",0.148375
"PE.18.1_20.1..H",0.224639
"PE.18.1_20.3..H",0.083336
"PE.18.1_20.4..H",0.047971
"PE.18.1_20.5..H",0.075733
"PE.18.1_22.4..H",0.180452
"PE.18.1_22.5..H",0.107764
"PE.18.1_22.6..H",0.109365
"PE.18.2_18.2..H",0.031595
"PE.18.2_18.3..H",0.142459
"PE.18.2_20.3..H",0.129483
"PE.18.2_20.4..H",0.061983
"PE.19.0_20.4..H",0.371656
"PE.20.1_20.2..H",0.90436
"PE.20.3_20.4..H",0.113512
"PE.20.4_20.4..H",0.198444
"PE.O.16.0_18.1..H",0.122601
"PE.O.16.0_18.2..H",0.03693
"PE.O.16.0_20.3..H",0.111359
"PE.O.16.0_20.4..H",0.039052
"PE.O.16.0_20.5..H",0.145291
"PE.O.16.0_22.5..H",0.034757
"PE.O.16.0_22.6..H",0.064975
"PE.O.18.0_18.3..H",0.154435
"PE.O.18.0_22.5..H",0.044645
"PE.P.16.0.16.0..H",0.190392
"PE.P.16.0.16.1..H",0.169859
"PE.P.16.0.18.0..H",0.183305
"PE.P.16.0.18.1..H",0.019596
"PE.P.16.0.18.2..H",0.016792
"PE.P.16.0.18.3..H",0.201806
"PE.P.16.0.20.1..H",0.291025
"PE.P.16.0.20.2..H",0.093484
"PE.P.16.0.20.3..H",0.022044
"PE.P.16.0.20.4..H",0.017596
"PE.P.16.0.20.5..H",0.08998
"PE.P.16.0.22.4..H",0.043659
"PE.P.16.0.22.5..H",0.020656
"PE.P.16.0.22.6..H",0.037109
"PE.P.18.0.16.1..H",0.114453
"PE.P.18.0.18.0..H",0.183033
"PE.P.18.0.18.1..H",0.045076
"PE.P.18.0.18.2..H",0.025147
"PE.P.18.0.18.3..H",0.126699
"PE.P.18.0.20.1..H",0.244516
"PE.P.18.0.20.2..H",0.074554
"PE.P.18.0.20.3..H",0.023436
"PE.P.18.0.20.4..H",0.025058
"PE.P.18.0.20.5..H",0.058394
"PE.P.18.0.22.5..H",0.033425
"PE.P.18.0.22.6..H",0.029909
"PE.P.18.1.16.0..H",0.068431
"PE.P.18.1.16.1..H",0.060289
"PE.P.18.1.18.0..H",0.202492
"PE.P.18.1.18.1..H",0.033099
"PE.P.18.1.18.2..H",0.021593
"PE.P.18.1.18.3..H",0.101045
"PE.P.18.1.20.2..H",0.195115
"PE.P.18.1.20.3..H",0.049338
"PE.P.18.1.20.4..H",0.014038
"PE.P.18.1.20.5..H",0.09576
"PE.P.18.1.22.4..H",0.064282
"PE.P.18.1.22.5..H",0.064421
"PE.P.18.1.22.6..H",0.032659
"PE.P.18.2.18.2..H",0.102465
"PE.P.18.2.20.4..H",0.068658
"PE.P.18.2.22.6..H",0.373373
"PG.16.0_18.1..H",0.041266
"PG.16.0_18.2..H",0.125106
"PG.16.0_20.2..H",0.183179
"PG.17.0_20.0..H",0.01218
"PG.17.0_20.1..H",0.030957
"PG.18.0_18.1..H",0.078805
"PG.18.0_18.2..H",0.085976
"PG.18.1_18.1..H",0.094375
"PG.18.3_20.3..H",0.037861
"PG.18.3_22.4..H",0.060683
"PI.14.0_18.0..H",0.287509
"PI.15.0_17.0..H",0.08808
"PI.15.0_18.1..H",0.165312
"PI.15.0_20.2..H",0.110459
"PI.15.0_22.4..H",0.090215
"PI.16.0_16.0..H",0.052676
"PI.16.0_16.1..H",0.052553
"PI.16.0_20.3..H",0.043333
"PI.16.0_20.4..H",0.038108
"PI.16.0_22.4..H",0.075394
"PI.16.0_22.5..H",0.112144
"PI.17.0_18.1..H",0.101959
"PI.17.0_20.0..H",0.03172
"PI.17.0_20.1..H",0.029976
"PI.17.0_20.4..H",0.056788
"PI.17.0_22.6..H",0.13906
"PI.18.0_18.0..H",0.025098
"PI.18.0_18.1..H",0.026589
"PI.18.0_18.2..H",0.036874
"PI.18.0_18.3..H",0.136312
"PI.18.0_20.2..H",0.059636
"PI.18.0_20.3..H",0.037002
"PI.18.0_20.4..H",0.027134
"PI.18.0_22.4..H",0.076061
"PI.18.0_22.5..H",0.050467
"PI.18.0_22.6..H",0.136757
"PI.18.1_18.1..H",0.023081
"PI.18.1_18.2..H",0.026326
"PI.18.1_20.3..H",0.064151
"PI.18.1_20.4..H",0.03041
"PI.18.2_20.5..H",0.105562
"PI.18.3_20.3..H",0.070008
"PI.18.3_20.4..H",0.060523
"PI.18.3_20.5..H",0.160635
"PI.19.0_20.4..H",0.111342
"PS.17.0_18.1..H",0.038125
"PS.17.0_20.0..H",0.028673
"PS.17.0_20.1..H",0.064637
"PS.17.0_20.2..H",0.04517
"Sebacic.10.0..H",0.050399
"Stearic.18.0..H",0.012342
